"Product","BoM Lines/Component","BoM Lines/Quantity"
"[A702] DIFFERENTIAL W/ SPOOL","[J705] DIFFERENTIAL CASE","2.0"
"","[J605] AXLE HOUSING","2.0"
"","[B302] RING AND PINION GEAR SET","1.0"
"","[B301] DIFFERENTIAL GEAR SET","1.0"
"","[F401] DIFFERENTIAL SPOOL","1.0"
"","[G603] #4-40 3/4"" SCREW","3.0"
"","[G507] #4 WASHER","3.0"
"","[G503] #4-40 1/4"" NUT","3.0"
"","[G302] 10x15x4mm BEARING","2.0"
"","[G301] 6x12x4mm BEARING","2.0"
"[A703] DUAL OUTPUT DIFFERENTIAL","[J704] CENTER DIFFERENTIAL CASE","2.0"
"","[J605] AXLE HOUSING","2.0"
"","[B302] RING AND PINION GEAR SET","2.0"
"","[B301] DIFFERENTIAL GEAR SET","1.0"
"","[G603] #4-40 3/4"" SCREW","5.0"
"","[G507] #4 WASHER","5.0"
"","[G503] #4-40 1/4"" NUT","5.0"
"","[G302] 10x15x4mm BEARING","2.0"
"","[G301] 6x12x4mm BEARING","4.0"
"[A610] 5mm AXLE REAR HUB","[I707] REAR WHEEL HUB","2.0"
"","[F510] M5 WHEEL END SHAFT","2.0"
"","[i704] 17mm WHEEL NUT","3.0"
"","[G501] M5-0.8 NYLOCK","3.0"
"","[G504] M5 WASHER","3.0"
"","[G408] U-JOINT SET SCREW","3.0"
"","[G512] 2.5x10mm DOWEL PIN","3.0"
"","[G301] 6x12x4mm BEARING","4.0"
"[A706] 5mm AXLE STEERING HUB","[i606] FRONT WHEEL KNUCKLE","2.0"
"","[i607] FRONT WHEEL HUB","2.0"
"","[i704] 17mm WHEEL NUT","3.0"
"","[F510] M5 WHEEL END SHAFT","2.0"
"","[G301] 6x12x4mm BEARING","4.0"
"","[G501] M5-0.8 NYLOCK","3.0"
"","[G504] M5 WASHER","3.0"
"","[G408] U-JOINT SET SCREW","3.0"
"","[G512] 2.5x10mm DOWEL PIN","3.0"
"[A602] 6x6 STEERING","[I802] STEERING BRACKET","1.0"
"","[I803] STEERING PLATE","1.0"
"","[I801] STEERING BAR","1.0"
"","[i505] SERVO MOUNT","2.0"
"","[G606] #4-40 3/8"" SCREW","5.0"
"","[G406] 3/16"" BALL STUD","7.0"
"","[F308] LONG SHANK ROD ENDS BLACK/12","6.0"
"","[F306] HVY DUTY ROD ENDS BLACK/12","2.0"
"","[G404] #4-40 x 1"" THREAD ROD","1.0"
"","[G402] #4-40 x 2-3/4"" THREAD ROD","2.0"
"","[G401] #4-40 x 3-3/4"" THREAD ROD","2.0"
"[A604] 6x6 DRIVELINE","[G408] U-JOINT SET SCREW","18.0"
"","[I601] 7-DRIVELINE MALE ASSEMBLY","2.0"
"","7-DRIVELINE FEMALE ASSEMBLY","2.0"
"","[I603] 8-DRIVELINE FEMALE ASSEMBLY","1.0"
"","[I603] 8-DRIVELINE MALE ASSEMBLY","1.0"
"","[I601] 6-DRIVELINE MALE ASSEMBLY","4.0"
"","6-DRIVELINE FEMALE ASSEMBLY","4.0"
"","[i701] 1-DRIVELINE FEMALE ASSEMBLY","2.0"
"","[i701] 1-DRIVELINE MALE ASSEMBLY","2.0"
"[A605] 6x6 ACCESSORY","[i501] CLEARANCE THREAD ADAPTER","44.0"
"","[G601] #4-40 1-3/8"" SCREW","4.0"
"","[F508] 2.0"" THREAD COLLAR","2.0"
"","[G602] #4-40 1"" SCREW","4.0"
"","[F507] 1.2"" THREAD COLLAR","4.0"
"","[H703] ANTENNA MOUNT","1.0"
"[A609] LARGE 4-LINK BARS","[F309] ROD END/BALL CONNECTOR (6)","8.0"
"","[G409] ROD END BALL","8.0"
"","[F406] 4.8"" FOUR-LINK ARM","4.0"
"[A304] 90mm SHOCKS KIT","[i502] INTERFERENCE THREAD ADAPTER","4.0"
"","[i501] CLEARANCE THREAD ADAPTER","4.0"
"","[G601] #4-40 1-3/8"" SCREW","4.0"
"","[G507] #4 WASHER","4.0"
"","90mm SHOCK","2.0"
"","[G410] SHOCK MOUNT","2.0"
"[A503] 10-58 GEAR SET","[F303] 10 TOOTH PINION GEAR","1.0"
"","[F301] 58 TOOTH SPUR GEAR","1.0"
"","[F303] PINION SET SCREW","1.0"
"[L102B] 5000 RPM MOTOR WITH WIRE","[L102] 7.2V 5000 RPM DC MOTOR","1.0"
"","[F505] MOTOR WIRES","1.0"
"","[E701] 5000 RPM MOTOR LABEL","1.0"
"[A401] HS-485HB SERVO (With Hardware)","[A10X] HS-485HB Karbonite Gear BB Servo","1.0"
"","[J603] STEERING SERVO HORN","1.0"
"","[J602] LONG SERVO HORN","1.0"
"","[J604] ROBOT SERVO HORN","1.0"
"[A301] 6x6 TOOLS AND FASTENERS","[B503] MINDS-i TOOL","1.0"
"","[G305] #1 PHILLIPS SCREWDRIVER","1.0"
"","[B504] 8mm  HEX DRIVER DYNAMITE","1.0"
"","[G511] 1.5mm Hex Key","1.0"
"","[G510] 1/16 SHORT ARM HEX KEY","1.0"
"","[G509] 3/32 HEX KEY","1.0"
"","[G303] 1/4"" FLAT WRENCH","1.0"
"","[E707] CABLE TIE 8""","5.0"
"","[E706] CABLE TIE 4""","10.0"
"6x6 WHEELS AND TIRES","6x6 Wheel","6.0"
"","HEX ADAPTER 17mm","6.0"
"[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour)","[M202] CORRUGATED BOXES 26x18x16""","1.0"
"","STORAGE BIN","4.0"
"","6x6","1.0"
"","[A501] 250 PIECE","1.0"
"","ARDUINO UPGRADE","1.0"
"","[C705] ROTATING CONNECTORS","1.0"
"","[C505] SCREW ADAPTER","1.0"
"","[C605] SERVO LINKAGE","1.0"
"","[C905] CATAPULT SUPPORT MATERIAL","1.0"
"","[A401] HS-485HB SERVO (With Hardware)","3.0"
"","[H601] GEAR REDUCER","1.0"
"","[D201] FUNCTION DIGITAL MULTIMETER","1.0"
"","[D101] TACHOMETER","1.0"
"","[D202] 15LB TUBE SCALE","1.0"
"","[D701] TGY-I6S RADIO CONTROLLER","1.0"
"","[B402] PING ULTRASONIC RANGE FINDER","1.0"
"","[B603] 3 PIN CABLE FLAT - LATCHED","1.0"
"","[B401] QTI - LF PCB ASSY","4.0"
"","[B605] 3 PIN CABLE FLAT - SEPERATE","4.0"
"","[B405] NIMH BATTERY","1.0"
"","[F504] INERTIA PLUG","1.0"
"","[B503] MINDS-i TOOL","2.0"
"","[B304] 1/16"" HEX DRIVER","1.0"
"","[B303] 3/32"" HEX DRIVER","1.0"
"[A501] 250 PIECE","[C701] 250 PIECE BAG 1: BEAMS","1.0"
"","[C702] 250 PIECE BAG 2: 45 BEAMS AND TRANSITIONS","1.0"
"","[C703] 250 PIECE BAG 3: CONNECTORS","1.0"
"ARDUINO UPGRADE","[E405] ARDUINO UPGRADE INSTRUCTIONS","1.0"
"","[E406] ARDUINO USER GUIDE INSTRUCTIONS","1.0"
"","[C601] ARDUINO UPGRADE BAG 1: BEAMS","1.0"
"","[C602] ARDUINO UPGRADE BAG 2: CONNECTORS","1.0"
"","[C603] ARDUINO UPGRADE BAG 3: ELECTRONICS","1.0"
"","[F604] USB DRIVE","1.0"
"[C705] ROTATING CONNECTORS","[H604] 2-ROTATE","60.0"
"","[H404] 2-PIN","60.0"
"","[H605] 3-ROTATE","40.0"
"","[H405] 3-PIN","40.0"
"[C505] SCREW ADAPTER","[i501] CLEARANCE THREAD ADAPTER","60.0"
"","[i502] INTERFERENCE THREAD ADAPTER","20.0"
"","[G602] #4-40 1"" SCREW","10.0"
"","[G601] #4-40 1-3/8"" SCREW","10.0"
"","[G509] 3/32 HEX KEY","1.0"
"[C605] SERVO LINKAGE","[i505] SERVO MOUNT","6.0"
"","[F308] LONG SHANK ROD ENDS BLACK/12","6.0"
"","[G407] 3/8"" BALL STUD","6.0"
"","[i502] INTERFERENCE THREAD ADAPTER","6.0"
"","[i501] CLEARANCE THREAD ADAPTER","6.0"
"","[G507] #4 WASHER","6.0"
"","[G605] #4-40 1/2"" SCREW","6.0"
"","[J602] LONG SERVO HORN","3.0"
"","[J604] ROBOT SERVO HORN","3.0"
"","[J603] STEERING SERVO HORN","3.0"
"","[G401] #4-40 x 3-3/4"" THREAD ROD","3.0"
"","[G402] #4-40 x 2-3/4"" THREAD ROD","3.0"
"","[G403] #4-40 x 1-1/2"" THREAD ROD","3.0"
"[C905] CATAPULT SUPPORT MATERIAL","[B705] FELT CATAPULT MAT","1.0"
"","3/8"" 32 OZ. ELASTIC BAND","4.0"
"","[H403] 1.5-PIN","4.0"
"","[H506] PANEL-LOCK","4.0"
"","VELCRO BALL","1.0"
"[C205] BUILD A MOTOR","[L102] 7.2V 5000 RPM DC MOTOR","1.0"
"","BALING WIRE","8.0"
"","BALING WIRE","8.0"
"","[F705] TAMIYA PLUG WITH 10cm LEADS, FEMALE","1.0"
"SERVO PLATE PLUS HARDWARE","[E606] SERVO PLATE","1.0"
"","[H506] PANEL-LOCK","4.0"
"","[H403] 1.5-PIN","4.0"
"","[G507] #4 WASHER","4.0"
"","[G503] #4-40 1/4"" NUT","4.0"
"","[G603] #4-40 3/4"" SCREW","4.0"
"[C502] ELECTRIC CAR BAG 2: 45-BEAMS AND TRANSITIONS","[i405] 6-45 BEAM","2.0"
"","[i404] 5-45 BEAM","6.0"
"","[i403] 4-45 BEAM","4.0"
"","[i402] 3-45 BEAM","2.0"
"","[J601] DUAL TRANSITION","6.0"
"","[J501] TRANSITION","50.0"
"[C503] ELECTRIC CAR BAG 3: CONNECTORS","[H503] 2-LOCK","97.0"
"","[H504] 3-LOCK","46.0"
"","[H603] 1.5-LOCK","8.0"
"","[H605] 3-ROTATE","3.0"
"","[H604] 2-ROTATE","8.0"
"","[H506] PANEL-LOCK","14.0"
"","[H404] 2-PIN","105.0"
"","[H405] 3-PIN","49.0"
"","[H403] 1.5-PIN","22.0"
"[C504] ELECTRIC CAR BAG 4: STEERING AND DRIVELINES","[I801] STEERING BAR","1.0"
"","[I802] STEERING BRACKET","1.0"
"","[I803] STEERING PLATE","1.0"
"","[i505] SERVO MOUNT","2.0"
"","[i701] 1-DRIVELINE MALE ASSEMBLY","3.0"
